metric,value,unit_or_status
pilot_topics,15,topics
pilot_cards,30,cards
cross_domain_canary,4,cards
max_completion_reservation_before,1400,tokens
max_completion_reservation_after,900,tokens
content_hard_floor,600,characters
content_target,700,characters
deadlock_regression_estimate,8041,tokens
deadlock_regression_tpm_limit,8000,tokens_per_minute
generated_verified_default,FALSE,status
generated_production_ready_default,FALSE,status
trust_assigned_during_generation,NO,status
chroma_modified,NO,boundary
brain_api_modified,NO,boundary
