metric,value,unit_or_status
telemetry_requests,120,requests
tracked_chats,21,chats
tracked_user_messages,120,messages
tracked_forge_responses,119,responses
input_tokens_processed,278526,tokens
output_tokens_generated,24657,tokens
total_model_tokens,303183,tokens
activity_heatmap_window,182,days
same_session_gap_max,5,minutes
forge_score_tokens_weight,35,percent
forge_score_messages_weight,20,percent
forge_score_chats_weight,15,percent
forge_score_active_time_weight,20,percent
forge_score_current_streak_weight,10,percent
leaderboard_visible_default,YES,privacy
public_profile_default,NO,privacy
benchmark_telemetry_excluded,YES,product_stats
new_statistics_table,NO,architecture
second_telemetry_pipeline,NO,architecture
brain_api_modified,NO,boundary
nexledger_integration_added,NO,boundary
