metric,value,unit_or_status
raw_rows,162,rows
unique_cases,54,cases
arms,3,arms
successful_raw_rows,162/162,rows
empty_gold_claim_ids,162/162,rows
evaluation_gold_claims_restored,336,claim_associations
blinded_judge_inputs,162,inputs
judge_completed,162/162,judgments
judge_tokens,461717,tokens
estimated_judge_cost_usd,0.140612,usd
B_hit_at_1,54/54,cases
B_gold_micro_recall,79.17,percent
C_hit_at_1,27/54,cases
C_gold_micro_recall,22.02,percent
raw_results_modified,NO,integrity
production_chroma_modified,NO,boundary
brain_modified,NO,boundary
database_modified,NO,boundary
